"filename", "language", "C#", "comment", "blank", "total"
"e:\UnityProjects\MouseQuest\Assets\_Scripts\ActionSlotsDisplay.cs", "C#", 23, 0, 5, 28
"e:\UnityProjects\MouseQuest\Assets\_Scripts\Atlas\AI\Pathfinding.cs", "C#", 88, 0, 17, 105
"e:\UnityProjects\MouseQuest\Assets\_Scripts\Atlas\Combat\BattleAnimation.cs", "C#", 7, 0, 2, 9
"e:\UnityProjects\MouseQuest\Assets\_Scripts\Atlas\Core\DatabaseSystem.cs", "C#", 52, 0, 10, 62
"e:\UnityProjects\MouseQuest\Assets\_Scripts\Atlas\Core\GameStateSystem.cs", "C#", 42, 1, 7, 50
"e:\UnityProjects\MouseQuest\Assets\_Scripts\Atlas\Core\Gamemaster.cs", "C#", 82, 1, 17, 100
"e:\UnityProjects\MouseQuest\Assets\_Scripts\Atlas\Core\IModel.cs", "C#", 6, 0, 3, 9
"e:\UnityProjects\MouseQuest\Assets\_Scripts\Atlas\Core\IPoolable.cs", "C#", 17, 0, 2, 19
"e:\UnityProjects\MouseQuest\Assets\_Scripts\Atlas\Core\ISystem.cs", "C#", 8, 0, 2, 10
"e:\UnityProjects\MouseQuest\Assets\_Scripts\Atlas\Core\PoolSystem.cs", "C#", 134, 2, 20, 156
"e:\UnityProjects\MouseQuest\Assets\_Scripts\Atlas\Core\ResourcesSystem.cs", "C#", 71, 2, 16, 89
"e:\UnityProjects\MouseQuest\Assets\_Scripts\Atlas\Core\SerializationSystem.cs", "C#", 60, 0, 12, 72
"e:\UnityProjects\MouseQuest\Assets\_Scripts\Atlas\Core\StagingSystem.cs", "C#", 29, 0, 5, 34
"e:\UnityProjects\MouseQuest\Assets\_Scripts\Atlas\Core\ViewAnimation.cs", "C#", 18, 0, 3, 21
"e:\UnityProjects\MouseQuest\Assets\_Scripts\Atlas\Core\ViewSystem.cs", "C#", 80, 0, 12, 92
"e:\UnityProjects\MouseQuest\Assets\_Scripts\Atlas\Database\AttributePrototype.cs", "C#", 11, 0, 1, 12
"e:\UnityProjects\MouseQuest\Assets\_Scripts\Atlas\Database\BattlePrototype.cs", "C#", 11, 0, 1, 12
"e:\UnityProjects\MouseQuest\Assets\_Scripts\Atlas\Database\BattlerStatePrototype.cs", "C#", 11, 0, 1, 12
"e:\UnityProjects\MouseQuest\Assets\_Scripts\Atlas\Database\Database.cs", "C#", 113, 1, 19, 133
"e:\UnityProjects\MouseQuest\Assets\_Scripts\Atlas\Database\EnemyPrototype.cs", "C#", 10, 0, 1, 11
"e:\UnityProjects\MouseQuest\Assets\_Scripts\Atlas\Database\ItemPrototype.cs", "C#", 11, 0, 1, 12
"e:\UnityProjects\MouseQuest\Assets\_Scripts\Atlas\Database\LootTablePrototype.cs", "C#", 11, 0, 1, 12
"e:\UnityProjects\MouseQuest\Assets\_Scripts\Atlas\Database\Models\ActionType.cs", "C#", 59, 1, 13, 73
"e:\UnityProjects\MouseQuest\Assets\_Scripts\Atlas\Database\Models\Attribute.cs", "C#", 30, 0, 5, 35
"e:\UnityProjects\MouseQuest\Assets\_Scripts\Atlas\Database\Models\Battle.cs", "C#", 11, 0, 1, 12
"e:\UnityProjects\MouseQuest\Assets\_Scripts\Atlas\Database\Models\BattlerState.cs", "C#", 83, 0, 18, 101
"e:\UnityProjects\MouseQuest\Assets\_Scripts\Atlas\Database\Models\Enemy.cs", "C#", 135, 3, 35, 173
"e:\UnityProjects\MouseQuest\Assets\_Scripts\Atlas\Database\Models\Item.cs", "C#", 97, 0, 27, 124
"e:\UnityProjects\MouseQuest\Assets\_Scripts\Atlas\Database\Models\LootTable.cs", "C#", 20, 0, 3, 23
"e:\UnityProjects\MouseQuest\Assets\_Scripts\Atlas\Database\Models\PlayerCharacter.cs", "C#", 85, 3, 20, 108
"e:\UnityProjects\MouseQuest\Assets\_Scripts\Atlas\Database\Models\Progression.cs", "C#", 23, 0, 1, 24
"e:\UnityProjects\MouseQuest\Assets\_Scripts\Atlas\Database\Models\Spell.cs", "C#", 71, 0, 18, 89
"e:\UnityProjects\MouseQuest\Assets\_Scripts\Atlas\Database\PlayerCharacterPrototype.cs", "C#", 10, 0, 1, 11
"e:\UnityProjects\MouseQuest\Assets\_Scripts\Atlas\Database\ProgressionPrototype.cs", "C#", 11, 0, 1, 12
"e:\UnityProjects\MouseQuest\Assets\_Scripts\Atlas\Database\SpellPrototype.cs", "C#", 11, 0, 1, 12
"e:\UnityProjects\MouseQuest\Assets\_Scripts\Atlas\Database\VariableAttributePrototype.cs", "C#", 9, 0, 3, 12
"e:\UnityProjects\MouseQuest\Assets\_Scripts\Atlas\Effects\EffectsSystem.cs", "C#", 182, 2, 39, 223
"e:\UnityProjects\MouseQuest\Assets\_Scripts\Atlas\Effects\IEffect.cs", "C#", 19, 0, 5, 24
"e:\UnityProjects\MouseQuest\Assets\_Scripts\Atlas\Effects\ParticleEffect.cs", "C#", 55, 1, 17, 73
"e:\UnityProjects\MouseQuest\Assets\_Scripts\Atlas\Effects\SoundEffectSource.cs", "C#", 78, 0, 24, 102
"e:\UnityProjects\MouseQuest\Assets\_Scripts\Atlas\Enums\EAttribute.cs", "C#", 13, 0, 0, 13
"e:\UnityProjects\MouseQuest\Assets\_Scripts\Atlas\Enums\EAttributeModifierSource.cs", "C#", 7, 0, 1, 8
"e:\UnityProjects\MouseQuest\Assets\_Scripts\Atlas\Enums\EElement.cs", "C#", 13, 0, 1, 14
"e:\UnityProjects\MouseQuest\Assets\_Scripts\Atlas\Enums\ETarget.cs", "C#", 7, 0, 2, 9
"e:\UnityProjects\MouseQuest\Assets\_Scripts\Atlas\FiniteStateMachine\IFiniteStateMachine.cs", "C#", 15, 0, 2, 17
"e:\UnityProjects\MouseQuest\Assets\_Scripts\Atlas\FiniteStateMachine\IFiniteStateMachineAdvanced.cs", "C#", 16, 0, 2, 18
"e:\UnityProjects\MouseQuest\Assets\_Scripts\Atlas\FiniteStateMachine\IState.cs", "C#", 12, 0, 1, 13
"e:\UnityProjects\MouseQuest\Assets\_Scripts\Atlas\FiniteStateMachine\IStateAdvanced.cs", "C#", 12, 0, 1, 13
"e:\UnityProjects\MouseQuest\Assets\_Scripts\Atlas\GameComponents.cs", "C#", 46, 3, 15, 64
"e:\UnityProjects\MouseQuest\Assets\_Scripts\Atlas\MapEditor\FloorMaker.cs", "C#", 22, 0, 4, 26
"e:\UnityProjects\MouseQuest\Assets\_Scripts\Atlas\MapEditor\MapAnchor.cs", "C#", 17, 0, 3, 20
"e:\UnityProjects\MouseQuest\Assets\_Scripts\Atlas\MapEditor\MapDefinition.cs", "C#", 229, 17, 49, 295
"e:\UnityProjects\MouseQuest\Assets\_Scripts\Atlas\MapEditor\MeshMergingTool.cs", "C#", 85, 6, 17, 108
